UniqueMemberRef,MemberName,FirstName,LastName,Gender,DateOfBirth,YearOfBirth,Postcode,NHSNumber,ClientName,ClientIdentifier,SchemeCategory,SchemeIdentifier,Plan,Product,RegistrationStatus,JoinDate,LapseDate,ContractStartDate,ContractEndDate,LengthOfServiceYears
UM0000036,Sophia Harris,Sophia,Harris,Female,1974-07-20,1974,E1 3NC,3628980954,TrustHealth Ltd,C8021,Corporate,S74868,Standard,Enhanced,Active,2020-01-10,,2019-08-03,2025-05-20,5
UM0000037,George Harris,George,Harris,Male,1996-06-29,1996,SW1A 5EF,2468179156,GlobalHealth Ltd,C9943,Corporate,S10961,Enhanced,Executive,Active,2017-07-26,,2016-10-09,2026-03-23,8
UM0000038,James Jones,James,Jones,Male,1978-11-15,1978,EC1A 3HQ,9391625641,GlobalHealth Ltd,C1587,Corporate,S31426,Gold,Standard,Active,2022-07-05,,2021-11-14,2023-12-29,3
UM0000039,Jack Williams,Jack,Williams,Male,1993-04-30,1993,HA1 8YP,0811891641,BlueShield UK,C6932,Corporate,S10829,Platinum,Executive,Active,2010-09-02,,2010-01-23,2012-02-07,15
UM0000040,Sophia Davies,Sophia,Davies,Female,1977-10-07,1977,SW1A 3NR,1584540720,Healthcare Co,C1058,Corporate,S78397,Gold,Enhanced,Active,2017-05-18,,2017-02-14,2024-12-02,8
UM0000041,Poppy Jones,Poppy,Jones,Female,2007-09-21,2007,UB1 8YM,4101113203,Healthcare Co,C5424,Corporate,S61589,Bronze,Standard,Active,2015-05-10,,2014-11-11,2023-03-15,10
UM0000042,Jack Smith,Jack,Smith,Male,1983-04-29,1983,KT1 3ND,3679473658,Acme Corp,C8610,Individual,S44444,Executive,Enhanced,Active,2018-01-06,,2017-03-06,2022-08-02,7
UM0000043,James Jones,James,Jones,Male,1999-11-01,1999,B1 8ZV,6741644608,Acme Corp,C5132,Family,S77375,Gold,Executive,Active,2017-06-10,,2016-11-25,2021-02-18,8
UM0000044,William Taylor,William,Taylor,Male,1992-07-08,1992,HA1 9EL,0795180771,BlueShield UK,C2921,Family,S34910,Silver,Standard,Active,2013-07-26,,2012-09-21,2015-11-18,12
UM0000045,Poppy Wright,Poppy,Wright,Female,1996-02-06,1996,B1 1LC,0292018259,GlobalHealth Ltd,C5956,Individual,S80612,Platinum,Enhanced,Active,2016-09-01,,2016-08-24,2018-07-13,9
UM0000046,Emily Davies,Emily,Davies,Female,1977-09-05,1977,LS1 2CV,6865660049,BlueShield UK,C8570,Family,S43433,Platinum,Enhanced,Lapsed,2019-11-20,2020-12-21,2019-08-18,2025-04-04,5
UM0000047,Sophie Davies,Sophie,Davies,Female,1976-08-22,1976,KT1 3HQ,4968416159,Acme Corp,C6120,Corporate,S65656,Platinum,Standard,Active,2010-12-21,,2010-10-03,2020-02-04,14
UM0000048,Henry Jones,Henry,Jones,Male,1990-06-30,1990,E1 4GN,9045923487,BlueShield UK,C3322,Individual,S83287,Bronze,Standard,Active,2012-11-28,,2012-02-18,2021-01-22,12
UM0000049,Ava Wright,Ava,Wright,Female,1977-02-02,1977,EC1A 2UI,6444176332,Acme Corp,C8027,Individual,S12965,Executive,Enhanced,Active,2021-05-22,,2020-05-24,2029-08-28,4
UM0000050,Thomas Robinson,Thomas,Robinson,Male,1963-12-07,1963,W1A 9ZT,8947802701,Healthcare Co,C1792,Corporate,S16553,Silver,Executive,Active,2019-07-23,,2019-04-17,2029-02-20,6
UM0000051,Mia Jones,Mia,Jones,Female,1979-12-10,1979,SE1 0DQ,6620909870,BlueShield UK,C3041,Family,S97073,Bronze,Enhanced,Active,2015-11-17,,2015-01-02,2019-07-06,9
UM0000052,Sophie Johnson,Sophie,Johnson,Female,1978-08-08,1978,M1 8QQ,9435126217,Mercer Group,C5821,Family,S16251,Platinum,Enhanced,Active,2011-01-20,,2010-05-26,2018-05-11,14
UM0000053,Emily Wilson,Emily,Wilson,Female,1981-08-26,1981,EC1A 2YV,3486275188,GlobalHealth Ltd,C3666,Corporate,S46668,Gold,Executive,Active,2011-11-03,,2011-10-26,2013-02-21,14
UM0000054,Charlie Williams,Charlie,Williams,Male,1967-12-21,1967,B1 9TX,1996851040,Mercer Group,C5522,Individual,S84323,Enhanced,Standard,Active,2010-05-17,,2009-06-11,2018-01-28,15
UM0000055,James Brown,James,Brown,Male,1964-12-29,1964,LS1 5WS,0396233389,Acme Corp,C9931,Family,S29983,Executive,Standard,Active,2020-01-29,,2019-09-30,2025-01-12,5
UM0000056,Ava Jones,Ava,Jones,Female,1992-10-05,1992,SE1 7OJ,7570584243,Healthcare Co,C5856,Family,S33866,Silver,Enhanced,Lapsed,2018-08-23,2021-10-20,2018-01-04,2020-03-08,7
UM0000057,Harry White,Harry,White,Male,1999-07-13,1999,B1 5FM,4714686378,Mercer Group,C1709,Family,S16008,Enhanced,Enhanced,Active,2014-06-08,,2013-06-21,2022-07-12,11
UM0000058,Oliver Wright,Oliver,Wright,Male,1980-10-10,1980,UB1 9EA,1227822452,BlueShield UK,C3888,Individual,S51373,Bronze,Standard,Active,2011-11-25,,2011-02-22,2014-08-11,13
UM0000059,Emily Davies,Emily,Davies,Female,1971-08-10,1971,W2 9US,2764226957,TrustHealth Ltd,C4509,Corporate,S16209,Platinum,Enhanced,Active,2021-07-20,,2020-11-06,2024-08-20,4
UM0000060,Oliver Jones,Oliver,Jones,Male,1988-03-23,1988,KT1 8SM,7158134377,GlobalHealth Ltd,C1967,Individual,S35151,Standard,Standard,Active,2017-04-17,,2016-07-05,2026-05-04,8
UM0000061,Sophie Davies,Sophie,Davies,Female,1970-10-24,1970,EN1 7HQ,9341414350,Healthcare Co,C2890,Corporate,S45928,Bronze,Enhanced,Active,2016-05-10,,2016-03-27,2025-10-19,9
UM0000062,Arthur Harris,Arthur,Harris,Male,1981-03-09,1981,N1 7AR,0176536364,Acme Corp,C8690,Corporate,S21016,Bronze,Executive,Active,2017-03-07,,2016-03-13,2022-07-29,8
UM0000063,Lily Harris,Lily,Harris,Female,1980-06-22,1980,HA1 2XU,1914821471,Healthcare Co,C8375,Individual,S12998,Gold,Executive,Active,2011-08-30,,2010-10-02,2016-12-07,14
UM0000064,Grace Thomas,Grace,Thomas,Female,1972-10-24,1972,BR1 1HL,6717718616,GlobalHealth Ltd,C2675,Corporate,S50643,Silver,Standard,Active,2018-10-06,,2018-06-13,2025-12-07,7
UM0000065,Sophie Thompson,Sophie,Thompson,Female,1970-01-23,1970,SW1A 0NT,5489042549,Mercer Group,C2785,Family,S68395,Bronze,Enhanced,Active,2014-07-12,,2014-06-24,2021-10-27,11
UM0000066,Emily Davies,Emily,Davies,Female,1992-03-01,1992,NW1 4ED,9508708530,BlueShield UK,C3184,Family,S77997,Platinum,Enhanced,Active,2011-06-18,,2010-08-24,2012-12-12,14
UM0000067,Isla Thomas,Isla,Thomas,Female,1981-01-22,1981,KT1 7UL,4071840146,Acme Corp,C8630,Individual,S18754,Silver,Executive,Active,2022-02-16,,2021-11-10,2028-06-01,3
UM0000068,Freddie Johnson,Freddie,Johnson,Male,2007-02-17,2007,SW3 9HV,5034845485,TrustHealth Ltd,C4477,Family,S74297,Silver,Executive,Active,2022-10-20,,2022-06-03,2031-09-02,3
UM0000069,Mia Wright,Mia,Wright,Female,1988-05-19,1988,W2 7IX,3384712663,Acme Corp,C1379,Corporate,S82026,Platinum,Standard,Active,2023-07-12,,2022-11-29,2025-10-27,2
UM0000070,Mia Williams,Mia,Williams,Female,1995-02-19,1995,EN1 5WV,5605662513,TrustHealth Ltd,C4847,Individual,S16120,Enhanced,Executive,Active,2011-01-07,,2010-01-20,2015-03-05,14
UM0000071,Freddie Brown,Freddie,Brown,Male,1996-07-25,1996,W1A 8MD,4107168190,BlueShield UK,C1255,Family,S18777,Platinum,Enhanced,Active,2019-12-17,,2019-04-22,2027-05-14,5
UM0000072,William Taylor,William,Taylor,Male,1967-12-11,1967,E1 3SB,1270025959,TrustHealth Ltd,C6329,Family,S99941,Standard,Executive,Active,2013-05-10,,2013-05-06,2015-11-19,12
UM0000073,William Jones,William,Jones,Male,1972-05-15,1972,EC1A 0YD,4660100744,TrustHealth Ltd,C5685,Individual,S44716,Standard,Enhanced,Active,2011-09-16,,2010-10-14,2013-10-27,14
UM0000074,Alfie Williams,Alfie,Williams,Male,1972-02-04,1972,E1 3SC,9718856067,Mercer Group,C5603,Individual,S18032,Gold,Enhanced,Active,2023-04-05,,2022-05-31,2027-05-08,2
UM0000075,Sophia Wright,Sophia,Wright,Female,1968-11-10,1968,EN1 2JF,6169182974,Mercer Group,C3470,Corporate,S80822,Bronze,Enhanced,Lapsed,2013-05-15,2015-02-04,2012-12-21,2019-06-19,12
UM0000076,Olivia Thomas,Olivia,Thomas,Female,1987-04-18,1987,E1 7DF,5659877702,Acme Corp,C2192,Corporate,S70949,Enhanced,Enhanced,Active,2012-01-23,,2011-03-22,2013-05-01,13
UM0000077,Jack Thompson,Jack,Thompson,Male,1988-09-22,1988,NW1 2SQ,7919189774,GlobalHealth Ltd,C1289,Individual,S18887,Silver,Enhanced,Active,2016-08-25,,2015-11-03,2018-07-23,9
UM0000078,Lily Wright,Lily,Wright,Female,1992-08-01,1992,LS1 3JI,1510574044,Mercer Group,C3144,Family,S74914,Silver,Executive,Active,2023-11-23,,2022-12-25,2032-05-05,1
UM0000079,Evie Wright,Evie,Wright,Female,1989-01-20,1989,SE1 6QH,6701845304,GlobalHealth Ltd,C1577,Family,S55060,Executive,Executive,Active,2017-09-12,,2016-12-03,2018-05-02,8
UM0000080,Isabella Thomas,Isabella,Thomas,Female,1978-06-11,1978,B1 2EF,1107114000,Acme Corp,C4403,Family,S40685,Platinum,Enhanced,Active,2019-03-25,,2019-02-21,2022-12-04,6
UM0000081,Isla Wright,Isla,Wright,Female,1979-12-22,1979,W2 5ZJ,2462119997,GlobalHealth Ltd,C8797,Family,S79203,Gold,Enhanced,Active,2020-09-28,,2020-06-06,2026-12-25,5
UM0000082,Mia Wilson,Mia,Wilson,Female,1993-11-16,1993,BR1 7QU,0257060932,Mercer Group,C9297,Corporate,S10664,Bronze,Executive,Active,2021-04-25,,2021-02-17,2028-06-10,4
UM0000083,Charlie Williams,Charlie,Williams,Male,1971-09-08,1971,SW3 2VM,7388383658,Mercer Group,C7889,Corporate,S85780,Platinum,Standard,Active,2010-11-22,,2010-10-20,2019-09-05,14
UM0000084,Alfie Jones,Alfie,Jones,Male,1975-10-22,1975,B1 2VZ,7208124418,BlueShield UK,C9002,Corporate,S51192,Silver,Enhanced,Active,2011-04-23,,2010-07-04,2013-11-24,14
UM0000085,Evie Smith,Evie,Smith,Female,1968-01-02,1968,HA1 7CT,5967997417,Acme Corp,C4924,Individual,S76244,Standard,Executive,Active,2017-04-30,,2016-08-22,2025-12-30,8
UM0000086,Olivia Smith,Olivia,Smith,Female,1958-11-24,1958,SE1 7NI,9089286314,TrustHealth Ltd,C1780,Individual,S69309,Bronze,Executive,Active,2011-09-14,,2011-01-05,2018-07-04,14
UM0000087,Thomas Evans,Thomas,Evans,Male,1992-02-26,1992,UB1 8VO,5189600756,GlobalHealth Ltd,C5034,Corporate,S43561,Standard,Enhanced,Active,2023-01-21,,2022-12-01,2029-05-18,2
UM0000088,Ella Thompson,Ella,Thompson,Female,1970-07-03,1970,B1 1LE,7499094050,Healthcare Co,C5543,Corporate,S12818,Standard,Enhanced,Active,2016-11-21,,2016-03-02,2025-08-08,8
UM0000089,Oscar White,Oscar,White,Male,1982-05-23,1982,E1 2RL,1276820445,TrustHealth Ltd,C2379,Individual,S42431,Executive,Standard,Active,2023-08-15,,2022-09-18,2026-03-28,2
UM0000090,Thomas Williams,Thomas,Williams,Male,1969-11-27,1969,NW1 4HL,6856683157,Acme Corp,C6688,Family,S79116,Platinum,Standard,Active,2011-07-14,,2011-04-16,2016-06-09,14
UM0000091,Charlotte Robinson,Charlotte,Robinson,Female,1978-06-16,1978,N1 4YM,6104074976,Mercer Group,C5801,Corporate,S27430,Bronze,Executive,Lapsed,2012-10-24,2014-12-13,2011-10-25,2016-03-07,13
UM0000092,James Thomas,James,Thomas,Male,1954-10-16,1954,NW1 1GC,8276249761,BlueShield UK,C6424,Corporate,S19038,Platinum,Standard,Active,2016-04-20,,2016-01-04,2018-01-27,9
UM0000093,Henry Brown,Henry,Brown,Male,1982-02-03,1982,EC1A 7JN,0188760914,Acme Corp,C6082,Individual,S71646,Gold,Executive,Active,2022-01-25,,2021-11-03,2023-12-06,3
UM0000094,Poppy Smith,Poppy,Smith,Female,1956-02-18,1956,SE1 2OV,5250141001,Healthcare Co,C6549,Individual,S10292,Gold,Executive,Active,2018-11-19,,2018-01-28,2019-01-30,6
UM0000095,James Taylor,James,Taylor,Male,1980-01-15,1980,SW3 6XT,7806189646,Mercer Group,C3191,Family,S81146,Executive,Executive,Active,2023-11-30,,2023-01-30,2028-05-07,1
UM0000096,James Williams,James,Williams,Male,1971-06-13,1971,W1A 3CH,4569137026,GlobalHealth Ltd,C8452,Corporate,S87975,Bronze,Standard,Active,2022-10-22,,2021-12-17,2028-07-23,3
UM0000097,Thomas Wilson,Thomas,Wilson,Male,1979-04-07,1979,LS1 0CM,0954948404,GlobalHealth Ltd,C1700,Corporate,S65621,Silver,Executive,Active,2014-03-05,,2013-10-20,2016-02-08,11
UM0000098,James Williams,James,Williams,Male,1989-02-06,1989,LS1 6RX,8593172129,TrustHealth Ltd,C9939,Individual,S43189,Standard,Standard,Active,2023-12-06,,2023-05-29,2026-07-15,1
UM0000099,Oscar Smith,Oscar,Smith,Male,1973-08-01,1973,UB1 9SG,0808312762,Mercer Group,C9724,Family,S85989,Standard,Enhanced,Active,2022-09-10,,2022-03-26,2028-05-30,3
UM0000100,Arthur Robinson,Arthur,Robinson,Male,1979-06-28,1979,N1 7QW,9605603666,Healthcare Co,C8915,Family,S31535,Enhanced,Executive,Active,2012-01-23,,2012-01-03,2015-04-23,13
UM0000101,Arthur Williams,Arthur,Williams,Male,1998-11-24,1998,SW3 7QH,2325055910,Healthcare Co,C6059,Corporate,S96569,Gold,Standard,Active,2012-05-24,,2011-05-27,2020-02-25,13
UM0000102,Alfie Williams,Alfie,Williams,Male,1986-12-23,1986,E1 0YO,9940153979,BlueShield UK,C5504,Family,S32583,Executive,Standard,Active,2023-08-18,,2022-09-02,2031-04-20,2
UM0000103,Charlie Robinson,Charlie,Robinson,Male,1981-09-14,1981,SW3 5IZ,9089277229,TrustHealth Ltd,C1146,Individual,S79521,Silver,Executive,Active,2010-05-20,,2009-11-04,2014-02-22,15
UM0000104,Olivia Robinson,Olivia,Robinson,Female,1992-06-25,1992,BR1 7CB,1261513015,TrustHealth Ltd,C3432,Family,S77218,Silver,Executive,Active,2017-11-20,,2017-07-21,2025-07-03,7
UM0000105,Oscar Brown,Oscar,Brown,Male,1986-02-23,1986,M1 4RN,4653925648,Acme Corp,C9250,Corporate,S55702,Platinum,Executive,Active,2016-10-16,,2016-10-16,2023-01-01,9
UM0000106,George Thompson,George,Thompson,Male,1981-08-15,1981,UB1 2UQ,2229007597,Healthcare Co,C8794,Individual,S31035,Standard,Enhanced,Active,2014-08-10,,2013-10-24,2017-06-01,11
UM0000107,Oliver Wright,Oliver,Wright,Male,1967-07-03,1967,SW3 1UI,9138213304,Mercer Group,C1763,Corporate,S51828,Executive,Standard,Active,2011-02-20,,2010-09-10,2014-02-19,14
UM0000108,Charlie Brown,Charlie,Brown,Male,1969-03-15,1969,N1 1EG,2475048139,GlobalHealth Ltd,C7663,Family,S54806,Standard,Executive,Active,2020-03-27,,2019-07-15,2024-03-24,5
UM0000109,Arthur Jones,Arthur,Jones,Male,1988-02-20,1988,W2 3AO,0075748244,TrustHealth Ltd,C4064,Corporate,S24330,Gold,Standard,Active,2018-08-05,,2018-04-30,2023-03-29,7
UM0000110,Isabella Wright,Isabella,Wright,Female,1962-09-05,1962,NW1 5WY,3964303464,Healthcare Co,C5833,Family,S81003,Enhanced,Enhanced,Active,2010-10-27,,2010-06-23,2014-09-22,15
UM0000111,Mia Johnson,Mia,Johnson,Female,1987-02-03,1987,N1 8EH,7254049369,GlobalHealth Ltd,C5318,Individual,S19894,Enhanced,Enhanced,Active,2019-03-04,,2019-02-21,2022-10-25,6
UM0000112,Henry Davies,Henry,Davies,Male,1975-05-23,1975,E1 2XZ,7452571990,Acme Corp,C1093,Individual,S33416,Standard,Enhanced,Active,2013-06-18,,2012-07-22,2014-04-13,12
UM0000113,Arthur Harris,Arthur,Harris,Male,1969-09-08,1969,LS1 5BG,5448589557,Mercer Group,C9287,Individual,S97354,Platinum,Standard,Lapsed,2011-04-15,2017-03-22,2011-03-28,2020-07-12,14
UM0000114,Olivia Johnson,Olivia,Johnson,Female,1999-07-06,1999,B1 6OZ,8829594880,Healthcare Co,C7195,Family,S72054,Standard,Standard,Active,2020-06-13,,2020-02-18,2024-11-30,5
UM0000115,Henry Evans,Henry,Evans,Male,1993-05-12,1993,SE1 3VR,8409294114,TrustHealth Ltd,C3402,Individual,S49275,Silver,Executive,Active,2013-08-16,,2012-12-13,2016-10-07,12
UM0000116,Ella Davies,Ella,Davies,Female,1985-09-02,1985,NW1 7VN,7081880576,Healthcare Co,C6117,Family,S32604,Executive,Enhanced,Active,2024-02-20,,2023-07-11,2032-04-25,1
UM0000117,Grace Wright,Grace,Wright,Female,1977-11-20,1977,KT1 0AS,3417506315,Acme Corp,C3235,Corporate,S45263,Enhanced,Enhanced,Active,2019-08-16,,2019-05-01,2027-12-22,6
UM0000118,Amelia Smith,Amelia,Smith,Female,1983-09-02,1983,LS1 6AQ,2188779775,Healthcare Co,C2897,Individual,S78682,Executive,Standard,Active,2020-11-28,,2019-12-11,2026-07-25,4
UM0000119,Poppy Davies,Poppy,Davies,Female,1972-10-23,1972,NW1 5SF,2569625881,Healthcare Co,C4022,Family,S56245,Enhanced,Executive,Active,2010-09-18,,2010-03-22,2018-07-24,15
UM0000120,James Brown,James,Brown,Male,2000-01-27,2000,N1 7UK,1701311013,TrustHealth Ltd,C4971,Corporate,S37797,Executive,Enhanced,Active,2019-12-13,,2019-11-01,2029-01-02,5
UM0000121,George Smith,George,Smith,Male,2007-08-30,2007,SW3 9UD,2833604962,BlueShield UK,C7993,Family,S46441,Gold,Standard,Active,2019-09-28,,2019-03-14,2023-04-08,6
UM0000122,Isla Robinson,Isla,Robinson,Female,1995-10-04,1995,SW1A 2GS,1097433513,BlueShield UK,C1206,Corporate,S54145,Executive,Enhanced,Active,2023-07-26,,2023-03-03,2026-08-31,2
UM0000123,Charlie White,Charlie,White,Male,1976-03-30,1976,E1 8QU,2525463289,GlobalHealth Ltd,C6232,Family,S20505,Standard,Enhanced,Active,2018-02-09,,2017-02-18,2019-05-23,7
UM0000124,Noah White,Noah,White,Male,1971-12-15,1971,M1 1ND,7666167384,GlobalHealth Ltd,C4877,Family,S83116,Executive,Executive,Active,2014-01-31,,2014-01-27,2016-08-15,11
UM0000125,Jack Wilson,Jack,Wilson,Male,1983-11-18,1983,EN1 2YO,5974069237,TrustHealth Ltd,C3925,Individual,S78382,Silver,Enhanced,Active,2020-01-09,,2019-06-21,2027-11-28,5
UM0000126,Arthur Taylor,Arthur,Taylor,Male,1982-09-08,1982,B1 3CI,5679945486,Acme Corp,C1279,Individual,S82690,Gold,Enhanced,Active,2017-12-09,,2017-01-01,2020-06-02,7
UM0000127,Jack Robinson,Jack,Robinson,Male,1979-03-10,1979,HA1 8XW,5046397786,Acme Corp,C2981,Family,S48653,Silver,Standard,Active,2011-04-12,,2010-07-26,2012-04-14,14
UM0000128,Charlie Evans,Charlie,Evans,Male,1988-04-19,1988,M1 0VW,7909896737,BlueShield UK,C1590,Individual,S58193,Enhanced,Enhanced,Active,2022-10-02,,2022-02-18,2027-10-27,3
UM0000129,Evie Brown,Evie,Brown,Female,1986-04-15,1986,HA1 9XM,7309791119,GlobalHealth Ltd,C4504,Family,S46097,Gold,Enhanced,Active,2010-01-14,,2009-09-29,2011-12-27,15
